# P t0 rp_rs a_rs b
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.098727029514856568e+00 4.497469684525109557e+01 7.459506287122732136e-03 1.280490473161034970e+01 4.892351341646293816e-01
9.305230538787393257e+00 4.497899866862169205e+01 9.481243233188992731e-03 1.426870402306204433e+01 5.062468992558892822e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
9.082581705528916416e+00 4.498770967011768818e+01 8.755581998626639842e-03 1.416145013416527121e+01 5.066827174028808445e-01
